N,Tip_Lista,Algoritm,Timp_Sortare,Memorie_Extra_Bytes,Status
10000,Descrescator,Merge Sort,2.5556 ms,534464,OK
50000,Descrescator,Bubble Sort,7.0170 s,0,OK
50000,Descrescator,Selection Sort,2.7570 s,0,OK
50000,Descrescator,Insertion Sort,3.1650 s,0,OK
50000,Descrescator,Quick Sort,SKIPPED,0,CRASH_PREVENTED
50000,Descrescator,Merge Sort,13.6667 ms,3137856,OK
100000,Descrescator,Bubble Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Selection Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Insertion Sort,TIMEOUT,0,TIMEOUT
100000,Descrescator,Quick Sort,SKIPPED,0,CRASH_PREVENTED
100000,Descrescator,Merge Sort,23.8000 ms,6675712,OK
10,Aproape_Sortat,Bubble Sort,60.5643 ns,0,OK
10,Aproape_Sortat,Selection Sort,189.1614 ns,0,OK
10,Aproape_Sortat,Insertion Sort,133.7212 ns,0,OK
10,Aproape_Sortat,Quick Sort,374.7859 ns,Stack,OK
10,Aproape_Sortat,Merge Sort,1.6241 us,136,OK
50,Aproape_Sortat,Bubble Sort,2.4621 us,0,OK
50,Aproape_Sortat,Selection Sort,3.5978 us,0,OK
50,Aproape_Sortat,Insertion Sort,969.8916 ns,0,OK
50,Aproape_Sortat,Quick Sort,5.4236 us,Stack,OK
50,Aproape_Sortat,Merge Sort,16.5782 us,1144,OK
100,Aproape_Sortat,Bubble Sort,10.0713 us,0,OK
100,Aproape_Sortat,Selection Sort,16.1917 us,0,OK
100,Aproape_Sortat,Insertion Sort,1.8020 us,0,OK
100,Aproape_Sortat,Quick Sort,25.5820 us,Stack,OK
100,Aproape_Sortat,Merge Sort,34.8311 us,2688,OK
1000,Aproape_Sortat,Bubble Sort,1.8704 ms,0,OK
1000,Aproape_Sortat,Selection Sort,1.3649 ms,0,OK
1000,Aproape_Sortat,Insertion Sort,123.3046 us,0,OK
1000,Aproape_Sortat,Quick Sort,348.4321 us,Stack,OK
1000,Aproape_Sortat,Merge Sort,561.7978 us,39904,OK
5000,Aproape_Sortat,Bubble Sort,44.0000 ms,0,OK
5000,Aproape_Sortat,Selection Sort,29.0000 ms,0,OK
5000,Aproape_Sortat,Insertion Sort,2.2222 ms,0,OK
5000,Aproape_Sortat,Quick Sort,1.3333 ms,Stack,OK
5000,Aproape_Sortat,Merge Sort,1.3699 ms,247232,OK
10000,Aproape_Sortat,Bubble Sort,149.0000 ms,0,OK
10000,Aproape_Sortat,Selection Sort,140.0000 ms,0,OK
10000,Aproape_Sortat,Insertion Sort,11.5556 ms,0,OK
10000,Aproape_Sortat,Quick Sort,3.2258 ms,Stack,OK
10000,Aproape_Sortat,Merge Sort,2.8333 ms,534464,OK
50000,Aproape_Sortat,Bubble Sort,3.0210 s,0,OK
50000,Aproape_Sortat,Selection Sort,2.8510 s,0,OK
50000,Aproape_Sortat,Insertion Sort,137.0000 ms,0,OK
50000,Aproape_Sortat,Quick Sort,3.5450 s,Stack,OK
50000,Aproape_Sortat,Merge Sort,12.8750 ms,3137856,OK
100000,Aproape_Sortat,Bubble Sort,6.9360 s,0,OK
100000,Aproape_Sortat,Selection Sort,TIMEOUT,0,TIMEOUT
100000,Aproape_Sortat,Insertion Sort,219.0000 ms,0,OK
